,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
29,0.003163766860961914,9.264694432305474e-05,0.0026061534881591797,0.00012256217745655555,1,1,poly,"{'svc__C': 1, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.96875,0.953125,0.9841269841269841,0.9365079365079365,0.9682539682539683,0.9621527777777779,0.016141699206179815,27,0.975,0.9541666666666666,0.9871794871794872,0.9407051282051282,0.9663461538461539,0.9646794871794873,0.01612966240206135,23,0.9615384615384616,0.9471794871794872,0.98,0.9287941787941788,0.9663461538461539,0.9567716562716564,0.01748541302064844,27
30,0.004503583908081055,6.139092766630767e-05,0.003793811798095703,0.00012187024947931517,1,1,rbf,"{'svc__C': 1, 'svc__gamma': 1, 'svc__kernel': 'rbf'}",0.90625,0.953125,0.9206349206349206,0.9206349206349206,0.8888888888888888,0.9179067460317458,0.02113351389199224,37,0.8916666666666666,0.9375,0.8958333333333333,0.9038461538461539,0.8541666666666667,0.896602564102564,0.02664894011409215,40,0.9069264069264069,0.9651162790697674,0.9431818181818181,0.9285714285714286,0.9239130434782609,0.9335417952455364,0.019573831366534292,36
31,0.004043149948120117,8.229626406184456e-05,0.0029340267181396486,0.00013489177924766048,1,1,sigmoid,"{'svc__C': 1, 'svc__gamma': 1, 'svc__kernel': 'sigmoid'}",0.640625,0.5625,0.5714285714285714,0.5873015873015873,0.5873015873015873,0.5898313492063492,0.027123639987710307,47,0.6041666666666666,0.5166666666666666,0.5416666666666666,0.5544871794871795,0.5544871794871795,0.5542948717948718,0.028504818098566205,45,0.6107419712070875,0.5181818181818182,0.5423913043478261,0.5565410199556541,0.5565410199556541,0.556879426729608,0.030360544571351934,47
32,0.003562593460083008,0.00017401712002299027,0.002792978286743164,6.835283946403107e-05,10,scale,linear,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.921875,0.984375,0.9523809523809523,0.9682539682539683,0.9841269841269841,0.962202380952381,0.023373887491495812,23,0.9291666666666667,0.9791666666666667,0.9615384615384616,0.9663461538461539,0.9871794871794872,0.964679487179487,0.019949599545479202,26,0.9124124124124124,0.9878048780487805,0.9444444444444444,0.9663461538461539,0.98,0.9582015777503582,0.027216785629661955,23
33,0.003429889678955078,0.0001531487083002619,0.002901172637939453,0.00012035832721134882,10,scale,poly,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.96875,0.96875,0.9841269841269841,0.9682539682539683,0.9841269841269841,0.9748015873015874,0.0076163086181226854,9,0.975,0.9666666666666667,0.9871794871794872,0.9743589743589743,0.9871794871794872,0.9780769230769231,0.007989967410709193,10,0.9615384615384616,0.9666666666666667,0.98,0.9615384615384616,0.98,0.9699487179487178,0.008417757755357186,10
34,0.003721809387207031,0.00044641100525821603,0.002874135971069336,0.00012649097682362415,10,scale,rbf,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.953125,0.953125,0.9841269841269841,0.9682539682539683,0.9841269841269841,0.9685515873015873,0.01386530736176919,18,0.9625,0.9541666666666666,0.9871794871794872,0.9663461538461539,0.9871794871794872,0.971474358974359,0.013414141222861714,22,0.9444444444444444,0.9471794871794872,0.98,0.9663461538461539,0.98,0.963594017094017,0.015375498248196878,18
35,0.0033971309661865235,0.00014105022073349706,0.002762603759765625,0.0001343348871552446,10,scale,sigmoid,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.9375,0.84375,0.9047619047619048,0.8095238095238095,0.9206349206349206,0.8832341269841271,0.048578301204823794,41,0.9333333333333333,0.8166666666666667,0.907051282051282,0.8141025641025641,0.9278846153846154,0.8798076923076923,0.053333949700580384,42,0.9333333333333333,0.8454545454545455,0.896049896049896,0.8,0.912037037037037,0.8773749623749625,0.0483473880718641,41
36,0.0035459041595458985,7.120291730855168e-05,0.0029687404632568358,0.00015987749057154386,10,auto,linear,"{'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.921875,0.984375,0.9523809523809523,0.9682539682539683,0.9841269841269841,0.962202380952381,0.023373887491495812,23,0.9291666666666667,0.9791666666666667,0.9615384615384616,0.9663461538461539,0.9871794871794872,0.964679487179487,0.019949599545479202,26,0.9124124124124124,0.9878048780487805,0.9444444444444444,0.9663461538461539,0.98,0.9582015777503582,0.027216785629661955,23
37,0.0034801006317138673,0.00023006958537374902,0.002724885940551758,9.957006130217452e-05,10,auto,poly,"{'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.953125,0.984375,0.9841269841269841,0.9682539682539683,1.0,0.9779761904761906,0.015974532761992465,8,0.9625,0.9875,0.9871794871794872,0.9663461538461539,1.0,0.9807051282051283,0.014127891010515219,8,0.9444444444444444,0.98,0.98,0.9663461538461539,1.0,0.9741581196581197,0.018330233037323108,8
38,0.0032919883728027345,0.00017412592717750173,0.0029019832611083983,9.117874609605075e-05,10,auto,rbf,"{'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.953125,0.984375,0.9841269841269841,0.9682539682539683,0.9841269841269841,0.9748015873015874,0.01247655429060804,9,0.9625,0.9875,0.9871794871794872,0.9743589743589743,0.9871794871794872,0.9797435897435898,0.00997078243174115,9,0.9444444444444444,0.98,0.98,0.9615384615384616,0.98,0.9691965811965811,0.014293051766650439,12
39,0.00319819450378418,8.209044935697999e-05,0.0025618553161621095,5.437143929451645e-05,10,auto,sigmoid,"{'svc__C': 10, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.96875,0.953125,0.9523809523809523,0.8571428571428571,0.9682539682539683,0.9399305555555555,0.041989724549585515,35,0.975,0.9541666666666666,0.9615384615384616,0.8605769230769231,0.9743589743589743,0.9451282051282052,0.04300388726064918,35,0.9615384615384616,0.9471794871794872,0.9444444444444444,0.8472222222222222,0.9615384615384616,0.9323846153846155,0.043166779839708416,37
40,0.003244972229003906,0.00017346275416717065,0.0026541709899902343,0.00012600385590052536,10,0.1,linear,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.921875,0.984375,0.9523809523809523,0.9682539682539683,0.9841269841269841,0.962202380952381,0.023373887491495812,23,0.9291666666666667,0.9791666666666667,0.9615384615384616,0.9663461538461539,0.9871794871794872,0.964679487179487,0.019949599545479202,26,0.9124124124124124,0.9878048780487805,0.9444444444444444,0.9663461538461539,0.98,0.9582015777503582,0.027216785629661955,23
41,0.0031024456024169923,8.326095661017645e-05,0.0025595664978027345,7.428728100491506e-05,10,0.1,poly,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.96875,0.953125,0.9682539682539683,0.9365079365079365,0.9841269841269841,0.9621527777777779,0.016141699206179815,27,0.975,0.9541666666666666,0.9663461538461539,0.9407051282051282,0.9871794871794872,0.964679487179487,0.016129662402061345,26,0.9615384615384616,0.9471794871794872,0.9663461538461539,0.9287941787941788,0.98,0.9567716562716562,0.01748541302064844,30
42,0.0030382633209228515,6.102744441188389e-05,0.002632284164428711,3.7878282324240435e-05,10,0.1,rbf,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.96875,0.953125,0.9682539682539683,0.9365079365079365,0.9841269841269841,0.9621527777777779,0.016141699206179815,27,0.975,0.9541666666666666,0.9663461538461539,0.9407051282051282,0.9871794871794872,0.964679487179487,0.016129662402061345,26,0.9615384615384616,0.9471794871794872,0.9663461538461539,0.9287941787941788,0.98,0.9567716562716562,0.01748541302064844,30
43,0.0031728267669677733,5.994724991769718e-05,0.0025927543640136717,5.9730282930513794e-05,10,0.1,sigmoid,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'sigmoid'}",0.90625,0.78125,0.8095238095238095,0.7619047619047619,0.8888888888888888,0.8295634920634921,0.05781662281098599,43,0.8916666666666666,0.7583333333333333,0.8060897435897436,0.7596153846153846,0.8862179487179487,0.8203846153846154,0.05858799021109764,43,0.9069264069264069,0.7683982683982684,0.7978170478170479,0.75,0.8805263157894736,0.8207336077862394,0.0620834378785687,43
44,0.003226613998413086,0.00014385874393858743,0.0025710105895996095,7.945294766521462e-05,10,1,linear,"{'svc__C': 10, 'svc__gamma': 1, 'svc__kernel': 'linear'}",0.921875,0.984375,0.9523809523809523,0.9682539682539683,0.9841269841269841,0.962202380952381,0.023373887491495812,23,0.9291666666666667,0.9791666666666667,0.9615384615384616,0.9663461538461539,0.9871794871794872,0.964679487179487,0.019949599545479202,26,0.9124124124124124,0.9878048780487805,0.9444444444444444,0.9663461538461539,0.98,0.9582015777503582,0.027216785629661955,23
45,0.0031517982482910157,0.00018871095460296045,0.002647686004638672,0.00011198664563387181,10,1,poly,"{'svc__C': 10, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.96875,0.953125,0.9841269841269841,0.9365079365079365,0.9682539682539683,0.9621527777777779,0.016141699206179815,27,0.975,0.9541666666666666,0.9871794871794872,0.9407051282051282,0.9663461538461539,0.9646794871794873,0.01612966240206135,23,0.9615384615384616,0.9471794871794872,0.98,0.9287941787941788,0.9663461538461539,0.9567716562716564,0.01748541302064844,27
46,0.004797029495239258,0.0002319827427675677,0.003728485107421875,0.0001241886287969637,10,1,rbf,"{'svc__C': 10, 'svc__gamma': 1, 'svc__kernel': 'rbf'}",0.921875,0.953125,0.9206349206349206,0.9365079365079365,0.8888888888888888,0.924206349206349,0.0212279566058622,36,0.9125,0.9375,0.8958333333333333,0.9246794871794872,0.8541666666666667,0.9049358974358975,0.028871498837121458,39,0.9199363732767762,0.9651162790697674,0.9431818181818181,0.9406873614190687,0.9239130434782609,0.9385669750851383,0.01607790653263738,34
47,0.0035827159881591797,0.00017511275764558378,0.0026741981506347655,2.363910292692626e-05,10,1,sigmoid,"{'svc__C': 10, 'svc__gamma': 1, 'svc__kernel': 'sigmoid'}",0.65625,0.5625,0.5079365079365079,0.6190476190476191,0.5873015873015873,0.5866071428571429,0.05034524294334511,48,0.625,0.5166666666666666,0.4903846153846154,0.5961538461538461,0.5544871794871795,0.5565384615384616,0.0494502984663282,44,0.6298701298701299,0.5181818181818182,0.49074074074074076,0.5961538461538461,0.5565410199556541,0.5582975109804378,0.05046189287401559,46
